,Name,Gender,Matches,Wins,Win Rate %,Age
20,BOULOUSSA Mehdi (ALG),Male,503,311,61.83,29
21,CIOBANU Irina (ROU),Female,463,311,67.17,29
22,SUH Hyo Won (KOR),Female,521,310,59.50,37
23,LI Isabelle Siyun (SGP),Female,445,310,69.66,30
24,KIHARA Miyuu (JPN),Female,435,310,71.26,20
0,LEE Seungsoo (KOR),Male,385,310,80.52,13
1,MORIZONO Misaki (JPN),Female,473,309,65.33,32
2,BROSSIER Benjamin (FRA),Male,494,309,62.55,31
3,CHITALE Diya (IND),Female,455,309,67.91,21
4,BERZOSA Daniel (ESP),Male,482,309,64.11,18
5,WALTHER Ricardo (GER),Male,455,308,67.69,33
6,DEVOS Robin (BEL),Male,566,308,54.42,30
7,DVORAK Galia (ESP),Female,546,307,56.23,36
8,CHEN Yi (CHN),Female,368,307,83.42,20
9,MEDINA Paula (COL),Female,460,306,66.52,35
10,GOMEZ Gustavo (CHI),Male,548,306,55.84,31
11,ORT Kilian (GER),Male,470,306,65.11,28
12,LIANG Jingkun (CHN),Male,386,306,79.27,28
13,GREBNEV Maksim (AIN),Male,449,306,68.15,23
14,MONTEIRO Thiago (BRA),Male,513,305,59.45,43
15,SZOCS Hunor (ROU),Male,534,305,57.12,33
16,LIN Gaoyuan (CHN),Male,404,305,75.50,30
17,KWON Hyuk (KOR),Male,433,305,70.44,17
18,BOGDANOWICZ Natalia (POL),Female,468,305,65.17,18
19,BELIK Simon (CZE),Male,518,304,58.69,20
20,PAVLOVIC Andrea (CRO),Female,543,302,55.62,25
21,HURSEY Anna (WAL),Female,455,302,66.37,18
22,CHIANG Hung-Chieh (TPE),Male,495,301,60.81,36
23,ZELJKO Filip (CRO),Male,512,301,58.79,28
24,HAZIN Jeremy (CAN),Male,505,301,59.60,25
0,PLAIAN Tania (ROU),Female,456,301,66.01,24
1,JANCARIK Lubomir (CZE),Male,527,300,56.93,37
2,ZHANG Yining (CHN),Female,324,299,92.28,43
3,CODINA Ana (ARG),Female,521,299,57.39,34
4,PICCOLIN Giorgia (ITA),Female,617,299,48.46,29
5,SEYFRIED Joe (FRA),Male,475,299,62.95,26
6,ISMAILOV Sadi (AIN),Male,491,299,60.90,28
7,KIM Kyungah (KOR),Female,433,298,68.82,47
8,VEGA Paulina (CHI),Female,521,298,57.20,41
9,QUEK Izaac (SGP),Male,466,298,63.95,18
10,JEAN Lauric (BEL),Male,496,297,59.88,32
11,KALLBERG Christina (SWE),Female,527,297,56.36,24
12,MONTEIRO Joao (POR),Male,523,296,56.60,41
13,ROBINOT Quentin (FRA),Male,450,296,65.78,32
14,CHERNOV Konstantin (AIN),Male,499,296,59.32,27
15,KAZANTSEVA Kristina (AIN),Female,432,296,68.52,23
16,YOO Yerin (KOR),Female,400,296,74.00,16
17,MAEDA Miyu (JPN),Female,457,295,64.55,28
18,LANDRIEU Andrea (FRA),Male,454,295,64.98,29
19,MISCHEK Karoline (AUT),Female,574,295,51.39,26
20,IONESCU Ovidiu (ROU),Male,526,294,55.89,35
21,LAM Yee Lok (HKG),Female,476,294,61.76,28
22,LIN Ye (CAN),Female,465,294,63.23,29
23,TAI Ming-Wei (TPE),Male,403,293,72.70,23
24,ZHMUDENKO Yaroslav (UKR),Male,513,292,56.92,36
0,LIM Jonghoon (KOR),Male,435,292,67.13,28
1,AHMADIAN Amin (IRI),Male,443,292,65.91,23
2,IONESCU Eduard (ROU),Male,426,292,68.54,20
3,PARTYKA Natalia (POL),Female,533,291,54.60,35
4,LEVAJAC Dimitrije (SRB),Male,534,291,54.49,23
5,SHIBATA Saki (JPN),Female,396,291,73.48,27
6,ABIODUN Tiago (POR),Male,378,291,76.98,17
7,KIM Donghyun (KOR),Male,444,290,65.32,30
8,JARVIS Tom (ENG),Male,468,290,61.97,25
9,CHASSELIN Pauline (FRA),Female,515,289,56.12,27
10,ARPAS Samuel (SVK),Male,453,289,63.80,17
11,JOO Saehyuk (KOR),Male,427,288,67.45,45
12,LI Jiawei (SGP),Female,439,287,65.38,43
13,ASSAR Khalid (EGY),Male,474,287,60.55,32
14,SILVA Yadira (MEX),Female,406,286,70.44,39
15,MANTZ Chantal (GER),Female,455,286,62.86,28
16,NG Wing Nam (HKG),Female,476,285,59.87,32
17,SIRUCEK Pavel (CZE),Male,441,285,64.63,32
18,GRIESEL Mia (GER),Female,438,285,65.07,19
19,MATSUSHIMA Sora (JPN),Male,365,285,78.08,17
20,PANAGITGUN Yanapong (THA),Male,443,284,64.11,23
21,BRZYSKA Anna (POL),Female,443,284,64.11,19
22,MORENO Steven (PUR),Male,403,284,70.47,15
23,RYU Seungmin (KOR),Male,411,283,68.86,42
24,SALIFOU Abdel-Kader (BEN),Male,483,283,58.59,35
0,LUNDSTROM Annika (FIN),Female,602,283,47.01,25
1,LABOSOVA Ema (SVK),Female,523,283,54.11,24
2,ASAZU Aoto (JPN),Male,421,283,67.22,24
3,STEGER Bastian (GER),Male,456,282,61.84,44
4,HSING Ariel (USA),Female,386,282,73.06,29
5,BARAVOK Katsiaryna (AIN),Female,537,282,52.51,30
6,VACENOVSKA Iveta (CZE),Female,474,281,59.28,39
7,WONG Chin Yau (HKG),Female,396,281,70.96,23
8,LI Jie (NED),Female,436,280,64.22,41
9,RZIHAUSCHEK Julian (AUT),Male,497,279,56.14,16
10,RIOS Enrique (PUR),Male,384,279,72.66,16
11,ANGLES Enzo (FRA),Male,414,278,67.15,29
12,GALIC Alex (SLO),Female,491,278,56.62,30
13,OIKAWA Mizuki (JPN),Male,413,278,67.31,27
14,ALTO Gaston (ARG),Male,469,277,59.06,39
15,TOKIC Bojan (SLO),Male,435,277,63.68,44
16,NARANJO Angel (PUR),Male,461,277,60.09,21
17,CHANG Yu-An (TPE),Male,351,277,78.92,18
18,HU Melek (TUR),Female,388,276,71.13,36
19,ORTEGA Daniela (CHI),Female,490,276,56.33,26
20,WANG Yidi (CHN),Female,344,276,80.23,28
21,BUJOR Dragos (ROU),Male,436,276,63.30,18
22,PUTUNTICA Andrei (MDA),Male,455,275,60.44,26
23,BAUM Patrick (GER),Male,446,274,61.43,37
24,EKHOLM Matilda (SWE),Female,459,274,59.69,42
0,MARTINKO Jiri (CZE),Male,507,274,54.04,25
1,SHAMS Navid (IRI),Male,421,274,65.08,19
2,ARLIA Nicole (ITA),Female,428,274,64.02,19
3,CORDERO Carelyn (PUR),Female,438,273,62.33,31
4,LI Qian (POL),Female,386,273,70.73,38
5,MORIZONO Masataka (JPN),Male,376,273,72.61,29
6,NIKITCHANKA Alina (AIN),Female,491,273,55.60,28
7,KASHIWA Takeru (JPN),Male,431,272,63.11,23
8,QIAN Tianyi (CHN),Female,337,271,80.42,25
9,LEBRUN Felix (FRA),Male,348,271,77.87,18
10,ZHOU Jingyi (SGP),Female,466,270,57.94,19
11,KAUFMANN Annett (GER),Female,360,270,75.00,18
12,LUTZ Charlotte (FRA),Female,400,270,67.50,19
13,MENGEL Steffen (GER),Male,431,269,62.41,36
14,SHIBAEV Alexander (AIN),Male,435,269,61.84,34
